2016-11-18 12:32:20.815 [main] INFO  cn.vpclub.DemoApplication - Starting DemoApplication on k8s-minion3 with PID 1482 (/home/vpclub/openshift/fabric/ipservice/target/classes started by vpclub in /home/vpclub/openshift/fabric/ipservice)
2016-11-18 12:32:32.868 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfigMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/AppConfigMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.869 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sequencesMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/SequencesMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.874 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfigMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/AppConfigMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.874 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sequencesMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/SequencesMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.890 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfigMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/AppConfigMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.891 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sequencesMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/SequencesMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.893 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'appConfigMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/AppConfigMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.894 [main] WARN  o.s.b.f.s.DefaultListableBeanFactory - Bean creation exception on non-lazy FactoryBean type check: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sequencesMapper' defined in file [/home/vpclub/openshift/fabric/ipservice/target/classes/cn/vpclub/storage/mapper/SequencesMapper.class]: Cannot resolve reference to bean 'sqlSessionFactory' while setting bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCurrentlyInCreationException: Error creating bean with name 'sqlSessionFactory': Requested bean is currently in creation: Is there an unresolvable circular reference?
2016-11-18 12:32:32.962 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.CONFIGURATION_PROPERTIES' of type [class org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:32.963 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$NonEmbeddedConfiguration' of type [class org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$NonEmbeddedConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.485 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [class com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.486 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisConfiguration' of type [class cn.vpclub.storage.config.MybatisConfiguration$$EnhancerBySpringCGLIB$$a783ae83] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.730 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.736 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'appInfoMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.736 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'appConfigMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.737 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sequencesMapper' of type [class tk.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.768 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisCacheConfig' of type [class cn.vpclub.storage.config.RedisCacheConfig$$EnhancerBySpringCGLIB$$954b7e89] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:33.781 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'annotationDrivenTransactionManager' of type [class org.springframework.jdbc.datasource.DataSourceTransactionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:34.619 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3577f79d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:34.646 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$9cd5c1fb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:35.289 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$ConfigurationPropertiesRebinderConfiguration' of type [class org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$ConfigurationPropertiesRebinderConfiguration$$EnhancerBySpringCGLIB$$267ae4b3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:35.623 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
2016-11-18 12:32:35.639 [main] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
2016-11-18 12:32:35.640 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.0.32
2016-11-18 12:32:35.760 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2016-11-18 12:32:35.761 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4089 ms
2016-11-18 12:32:36.075 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2016-11-18 12:32:36.078 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'metricFilter' to: [/*]
2016-11-18 12:32:36.079 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2016-11-18 12:32:36.079 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2016-11-18 12:32:36.079 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2016-11-18 12:32:36.079 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2016-11-18 12:32:36.079 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2016-11-18 12:32:36.080 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
2016-11-18 12:32:36.241 [main] INFO  com.atomikos.logging.LoggerFactory - Using Slf4J for logging.
2016-11-18 12:32:36.241 [main] WARN  c.a.i.c.UserTransactionServiceImp - No properties path set - looking for transactions.properties in classpath...
2016-11-18 12:32:36.242 [main] WARN  c.a.i.c.UserTransactionServiceImp - transactions.properties not found - looking for jta.properties in classpath...
2016-11-18 12:32:36.242 [main] WARN  c.a.i.c.UserTransactionServiceImp - Failed to open transactions properties file - using default values
2016-11-18 12:32:36.252 [main] WARN  c.a.i.c.UserTransactionServiceImp - No properties path set - looking for transactions.properties in classpath...
2016-11-18 12:32:36.252 [main] WARN  c.a.i.c.UserTransactionServiceImp - transactions.properties not found - looking for jta.properties in classpath...
2016-11-18 12:32:36.253 [main] WARN  c.a.i.c.UserTransactionServiceImp - Failed to open transactions properties file - using default values
2016-11-18 12:32:36.295 [main] INFO  c.a.p.imp.StateRecoveryManagerImp - com.atomikos.persistence.imp.WriteAheadObjectLog instantiation failed - falling back to default
2016-11-18 12:32:36.296 [main] INFO  c.a.p.imp.AbstractLogStream - Logfile closed: /home/vpclub/openshift/fabric/ipservice/./tmlog-1.log
2016-11-18 12:32:36.336 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING core version: 3.9.3
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.automatic_resource_registration = true
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.client_demarcation = false
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.threaded_2pc = false
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.serial_jta_transactions = true
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.serializable_logging = true
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.log_base_dir = ./
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.max_actives = 50
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.checkpoint_interval = 500
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.enable_logging = true
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.output_dir = ./
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.log_base_name = tmlog
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.max_timeout = 300000
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.tm_unique_name = 127.0.1.1.tm
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING java.naming.factory.initial = com.sun.jndi.rmi.registry.RegistryContextFactory
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING java.naming.provider.url = rmi://localhost:1099
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.service = com.atomikos.icatch.standalone.UserTransactionServiceFactory
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.force_shutdown_on_vm_exit = false
2016-11-18 12:32:36.337 [main] INFO  c.a.i.c.i.AbstractUserTransactionService - USING com.atomikos.icatch.default_jta_timeout = 10000
2016-11-18 12:32:36.343 [main] INFO  o.s.t.jta.JtaTransactionManager - Using JTA UserTransaction: com.atomikos.icatch.jta.UserTransactionImp@5792c08c
2016-11-18 12:32:36.343 [main] INFO  o.s.t.jta.JtaTransactionManager - Using JTA TransactionManager: com.atomikos.icatch.jta.UserTransactionManager@4d157493
2016-11-18 12:32:36.507 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@681aad3b: startup date [Fri Nov 18 12:32:31 CST 2016]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@24105dc5
2016-11-18 12:32:36.608 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/appInfo/deleteDataInfo],methods=[POST]}" onto public void cn.vpclub.web.AppInfoController.deleteDataInfo(java.util.Map<java.lang.String, java.lang.Object>,javax.servlet.http.HttpServletResponse)
2016-11-18 12:32:36.609 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/appInfo/findDataPage],methods=[POST]}" onto public void cn.vpclub.web.AppInfoController.findDataPage(cn.vpclub.api.model.request.AppInfoParam,javax.servlet.http.HttpServletResponse)
2016-11-18 12:32:36.610 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/appInfo/findAllDataList],methods=[POST]}" onto public void cn.vpclub.web.AppInfoController.findAllDataList(java.util.Map<java.lang.String, java.lang.Object>,javax.servlet.http.HttpServletResponse)
2016-11-18 12:32:36.611 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/appInfo/findDataInfo],methods=[POST]}" onto public void cn.vpclub.web.AppInfoController.findDataInfo(java.util.Map<java.lang.String, java.lang.Object>,javax.servlet.http.HttpServletResponse)
2016-11-18 12:32:36.611 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/ip],methods=[GET]}" onto public cn.vpclub.IPAddress cn.vpclub.IPAddressController.ipaddress() throws java.lang.Exception
2016-11-18 12:32:36.613 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2016-11-18 12:32:36.613 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2016-11-18 12:32:36.646 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2016-11-18 12:32:36.646 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2016-11-18 12:32:36.679 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2016-11-18 12:32:37.289 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/env],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.context.environment.EnvironmentManagerMvcEndpoint.value(java.util.Map<java.lang.String, java.lang.String>)
2016-11-18 12:32:37.289 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/env/reset],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> org.springframework.cloud.context.environment.EnvironmentManagerMvcEndpoint.reset()
2016-11-18 12:32:37.292 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/mappings || /mappings.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.293 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/restart || /restart.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.context.restart.RestartMvcEndpoint.invoke()
2016-11-18 12:32:37.293 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/pause || /pause.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
2016-11-18 12:32:37.294 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/dump || /dump.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.295 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/metrics/{name:.*}],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
2016-11-18 12:32:37.295 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/metrics || /metrics.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.295 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/info || /info.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.297 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/beans || /beans.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.298 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/health || /health.json],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(java.security.Principal)
2016-11-18 12:32:37.298 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/configprops || /configprops.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.299 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/resume || /resume.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
2016-11-18 12:32:37.299 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/trace || /trace.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.300 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/refresh || /refresh.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
2016-11-18 12:32:37.301 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/autoconfig || /autoconfig.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.302 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/env/{name:.*}],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
2016-11-18 12:32:37.302 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/env || /env.json],methods=[GET],produces=[application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2016-11-18 12:32:37.452 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2016-11-18 12:32:37.455 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2016-11-18 12:32:37.466 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'refreshEndpoint' has been autodetected for JMX exposure
2016-11-18 12:32:37.467 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'restartEndpoint' has been autodetected for JMX exposure
2016-11-18 12:32:37.468 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'configurationPropertiesRebinder' has been autodetected for JMX exposure
2016-11-18 12:32:37.469 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'refreshScope' has been autodetected for JMX exposure
2016-11-18 12:32:37.469 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'environmentManager' has been autodetected for JMX exposure
2016-11-18 12:32:37.472 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located managed bean 'environmentManager': registering with JMX server as MBean [org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager]
